epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
98,15264.9,0.98421,0.25325,0.06557,0.50768,1.01102,0.89338,0.85627,0.90433,0.61871,0.31589,0.22604,0.25936,0.2573,1.22382,0.93588,0.15129,0.589,1.13179,0.00134684,0.00134684,0.00134684
99,15420.1,0.98106,0.28133,0.06666,0.50887,1.01015,0.88259,0.86575,0.90167,0.61715,0.3122,0.22875,0.26265,0.26083,1.23111,0.93354,0.15568,0.58668,1.14264,0.00134354,0.00134354,0.00134354
100,15575,0.9894,0.33968,0.06852,0.50893,1.01567,0.88717,0.86313,0.90785,0.62271,0.31277,0.22757,0.26388,0.26198,1.22259,0.93572,0.14136,0.58855,1.13396,0.00134023,0.00134023,0.00134023
101,15729.7,0.97481,0.27,0.0632,0.50015,1.01033,0.8861,0.86387,0.90313,0.62256,0.31216,0.22664,0.26196,0.2603,1.2162,0.93777,0.16074,0.58495,1.13649,0.00133693,0.00133693,0.00133693
102,15885.3,0.96994,0.31795,0.06204,0.49976,1.00822,0.8918,0.84885,0.89724,0.61434,0.31241,0.22453,0.25474,0.25274,1.22592,0.93987,0.19406,0.59519,1.14176,0.00133363,0.00133363,0.00133363
103,16040.1,0.97772,0.29557,0.06764,0.50242,1.01404,0.89372,0.84934,0.89903,0.61852,0.31809,0.22694,0.26491,0.26293,1.22197,0.93527,0.20617,0.58877,1.13596,0.00133033,0.00133033,0.00133033
104,16196.2,0.97062,0.33276,0.06207,0.49374,1.011,0.89224,0.859,0.90468,0.62083,0.30819,0.23207,0.26067,0.25887,1.22555,0.93776,0.18291,0.58881,1.13801,0.00132703,0.00132703,0.00132703
105,16351.5,0.95548,0.30228,0.06362,0.49698,1.00425,0.88781,0.85612,0.90207,0.62263,0.31038,0.22725,0.25827,0.25679,1.22627,0.93602,0.18163,0.5904,1.14051,0.00132373,0.00132373,0.00132373
106,16505.6,0.96176,0.29996,0.07079,0.49829,1.00267,0.90243,0.84286,0.90188,0.62117,0.31989,0.22936,0.26367,0.26177,1.22226,0.93371,0.15855,0.58467,1.13621,0.00132043,0.00132043,0.00132043
107,16660.5,0.96183,0.26864,0.06164,0.49312,1.00429,0.88595,0.86136,0.9014,0.6199,0.3133,0.22758,0.26299,0.26176,1.21554,0.94071,0.17903,0.58213,1.13262,0.00131713,0.00131713,0.00131713
108,16815.7,0.96564,0.24175,0.0692,0.49837,1.00559,0.90327,0.84801,0.90133,0.61988,0.31174,0.22815,0.26399,0.26266,1.22327,0.93669,0.15543,0.58683,1.13492,0.00131383,0.00131383,0.00131383
109,16971.2,0.96304,0.30515,0.06107,0.49386,1.00291,0.8949,0.85958,0.90508,0.62065,0.31186,0.22514,0.26312,0.26101,1.22689,0.93452,0.1586,0.58735,1.13791,0.00131053,0.00131053,0.00131053
110,17126.1,0.95796,0.29261,0.06165,0.4865,1.00596,0.90824,0.85184,0.90584,0.62201,0.31703,0.22785,0.26293,0.26178,1.22093,0.93583,0.25665,0.57989,1.13585,0.00130723,0.00130723,0.00130723
111,17281,0.95819,0.28045,0.06462,0.48626,1.00215,0.8883,0.8573,0.90203,0.61621,0.31321,0.22725,0.25962,0.25802,1.22649,0.93258,0.15218,0.58916,1.13648,0.00130393,0.00130393,0.00130393
112,17435,0.95982,0.26924,0.06045,0.49141,1.00761,0.89308,0.84623,0.8966,0.61792,0.31824,0.22664,0.26202,0.2604,1.21601,0.93686,0.16227,0.59502,1.13398,0.00130063,0.00130063,0.00130063
113,17591.1,0.9545,0.26158,0.06305,0.49336,1.00566,0.8883,0.85372,0.90499,0.62093,0.3162,0.22544,0.26451,0.26325,1.22601,0.93588,0.1715,0.58947,1.13795,0.00129733,0.00129733,0.00129733
